,title,artist,rank,date,weeks
0,El Paso,Marty Robbins,1,1960-01-04,9
1,Why,Frankie Avalon,2,1960-01-04,7
2,The Big Hurt,Miss Toni Fisher,3,1960-01-04,8
3,Running Bear,Johnny Preston,4,1960-01-04,12
4,Way Down Yonder In New Orleans,Freddie Cannon,5,1960-01-04,7
5,Heartaches By The Number,Guy Mitchell,6,1960-01-04,14
6,It's Time To Cry,Paul Anka,7,1960-01-04,7
7,Among My Souvenirs,Connie Francis,8,1960-01-04,7
8,Pretty Blue Eyes,Steve Lawrence,9,1960-01-04,7
9,"Go, Jimmy, Go",Jimmy Clanton,10,1960-01-04,5
10,We Got Love,Bobby Rydell,11,1960-01-04,13
11,Mack The Knife,Bobby Darin,12,1960-01-04,20
12,The Village Of St. Bernadette,Andy Williams,13,1960-01-04,4
13,Uh! Oh! Part 2,The Nutty Squirrels,14,1960-01-04,9
14,Sandy,Larry Hall,15,1960-01-04,7
15,Hound Dog Man,Fabian,16,1960-01-04,8
16,Scarlet Ribbons (For Her Hair),The Browns,17,1960-01-04,10
17,Smokie - Part 2,Bill Black's Combo,18,1960-01-04,6
18,Not One Minute More,Della Reese,19,1960-01-04,4
19,This Friendly World,Fabian,20,1960-01-04,7
20,In The Mood,Ernie Fields & Orch.,21,1960-01-04,16
21,The Little Drummer Boy,The Harry Simeone Chorale,22,1960-01-04,13
22,You Got What It Takes,Marv Johnson,23,1960-01-04,10
23,First Name Initial,Annette With The Afterbeats,24,1960-01-04,11
24,So Many Ways,Brook Benton,25,1960-01-04,12
25,Oh! Carol,Neil Sedaka,26,1960-01-04,13
26,Be My Guest,Fats Domino,27,1960-01-04,11
27,Tear Drop,Santo & Johnny,28,1960-01-04,6
28,Teen Angel,Mark Dinning,29,1960-01-04,3
29,Come Into My Heart,Lloyd Price and His Orchestra,30,1960-01-04,11
30,Mr. Blue,The Fleetwoods,31,1960-01-04,18
31,I Wanna Be Loved,Ricky Nelson,32,1960-01-04,6
32,Danny Boy,Conway Twitty,33,1960-01-04,15
33,Don't You Know,Della Reese,34,1960-01-04,16
34,Talk That Talk,Jackie Wilson,35,1960-01-04,7
35,Marina,Rocco Granata and the International Quintet,36,1960-01-04,9
36,Just Come Home,Hugo & Luigi,37,1960-01-04,4
37,How About That,Dee Clark,38,1960-01-04,5
38,Swingin' On A Rainbow,Frankie Avalon,39,1960-01-04,3
39,Misty,Johnny Mathis,40,1960-01-04,14
40,He'll Have To Go,Jim Reeves,41,1960-01-04,2
41,Believe Me,Royal Teens,42,1960-01-04,11
42,Dance With Me,The Drifters,43,1960-01-04,13
43,Just As Much As Ever,Bob Beckham,44,1960-01-04,21
44,The Happy Reindeer,"Dancer, Prancer And Nervous",45,1960-01-04,5
45,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,46,1960-01-04,2
46,(New In) The Ways Of Love,Tommy Edwards,47,1960-01-04,8
47,If I Had A Girl,Rod Lauren,48,1960-01-04,3
48,Mighty Good,Ricky Nelson,49,1960-01-04,6
49,What About Us,The Coasters,50,1960-01-04,5
50,Where Or When,Dion & The Belmonts,51,1960-01-04,2
51,The Clouds,The Spacemen,52,1960-01-04,12
52,Mary Don't You Weep,Stonewall Jackson,53,1960-01-04,2
53,Marina,Willy Alberti,54,1960-01-04,6
